Channel_Group,Campaign_Group,FF_Lead_Event_Count_Actual,FF_Lead_Event_Count_LW,FF_Lead_Event_Count_YoY,FF_Lead_Event_Count_WoW,FF_Purchase_Event_Count_Actual,FF_Purchase_Event_Count_LW,FF_Purchase_Event_Count_YoY,FF_Purchase_Event_Count_WoW,FF_BRSubmit_Event_Count_Actual,FF_BRSubmit_Event_Count_LW,FF_BRSubmit_Event_Count_YoY,FF_BRSubmit_Event_Count_WoW,FF_DMSubmit_Event_Count_Actual,FF_DMSubmit_Event_Count_LW,FF_DMSubmit_Event_Count_YoY,FF_DMSubmit_Event_Count_WoW,FF_PhoneGet_Event_Count_Actual,FF_PhoneGet_Event_Count_LW,FF_PhoneGet_Event_Count_YoY,FF_PhoneGet_Event_Count_WoW,Housing Requests_Actual,Housing Requests_LW,Housing Requests_YoY,Housing Requests_WoW,Total Traveler Actions_Actual,Total Traveler Actions_LW,Total Traveler Actions_YoY,Total Traveler Actions_WoW,Traveler Value_Actual,Traveler Value_LW,Traveler Value_YoY,Traveler Value_WoW,Landlord Value_Actual,Landlord Value_LW,Landlord Value_YoY,Landlord Value_WoW,Sessions_Actual,Sessions_LW,Sessions_YoY,Sessions_WoW,Impressions_Actual,Impressions_LW,Impressions_YoY,Impressions_WoW,Clicks_Actual,Clicks_LW,Clicks_YoY,Clicks_WoW,Cost_Actual,Cost_LW,Cost_YoY,Cost_WoW,Lead_Conversion_Actual,Lead_Conversion_LW,Lead_Conversion_YoY,Lead_Conversion_WoW,CPL_Actual,CPL_LW,CPL_YoY,CPL_WoW,CAC_Actual,CAC_LW,CAC_YoY,CAC_WoW,Traveler_Conversion_Actual,Traveler_Conversion_LW,Traveler_Conversion_YoY,Traveler_Conversion_WoW,CPTA_Actual,CPTA_LW,CPTA_YoY,CPTA_WoW,ROAS_Actual,ROAS_LW,ROAS_YoY,ROAS_WoW
SEM Brand,Google Search - Brand,1663,1595.0,0.0,0.04263322884012544,544,561.0,0.0,-0.030303030303030276,3379,3236.0,0.0,0.04419035846724362,4547,5012.0,0.0,-0.09277733439744618,7459,8495.0,0.0,-0.12195409064155383,553,699.0,0.0,-0.20886981402002858,15385,16743.0,0.0,-0.08110852296482107,30770,33486.0,0.0,-0.08110852296482107,130560,134640.0,0.0,-0.030303030303030276,112699,119393.0,0.0,-0.05606693859774026,74494,72706.0,0.0,0.024592193216515845,53351,52071.0,0.0,0.02458182097520689,17311.177648,15950.32213,0.0,0.08531837206224502,0.3271196632591702,0.35172413793103446,0.0,-0.06995389857686907,10.409607725796754,10.000201962382446,0.0,0.040939749512495904,31.822017735294118,28.431946755793227,0.0,0.11923457118919023,0.1365140773210055,0.14023435209769416,0.0,-0.026528983241545068,1.125198417159571,0.9526561625754046,0.0,0.18111702979773603,9.31941219022952,10.540602166509348,0.0,-0.115855807570455
SEM Brand,Google Search - Brand Broad,60,68.0,0.0,-0.11764705882352944,57,39.0,0.0,0.46153846153846145,398,386.0,0.0,0.031088082901554515,440,465.0,0.0,-0.053763440860215006,893,883.0,0.0,0.011325028312570762,54,61.0,0.0,-0.11475409836065575,1731,1734.0,0.0,-0.0017301038062284002,3462,3468.0,0.0,-0.0017301038062284002,13680,9360.0,0.0,0.46153846153846145,13979,12989.0,0.0,0.07621833859419502,15873,14954.0,0.0,0.061455129062458314,7889,7549.0,0.0,0.045039078023579204,13779.863552,13759.169486,0.0,0.0015040199934346354,0.95,0.5735294117647058,0.0,0.6564102564102565,229.66439253333334,202.34072773529414,0.0,0.13503788932589256,241.7519921403509,352.7992175897436,0.0,-0.3147604073729131,0.12382860004292152,0.13349757487104472,0.0,-0.07242809345011081,7.96063752281918,7.934930499423299,0.0,0.0032397288669068214,1.2439890957782396,0.9323237142367155,0.0,0.3342888063259033
SEM Non-Brand,Google Search - Housing,94,99.0,0.0,-0.0505050505050505,20,18.0,0.0,0.11111111111111116,220,231.0,0.0,-0.04761904761904767,271,295.0,0.0,-0.08135593220338988,526,400.0,0.0,0.31499999999999995,44,58.0,0.0,-0.24137931034482762,1017,926.0,0.0,0.09827213822894176,2034,1852.0,0.0,0.09827213822894176,4800,4320.0,0.0,0.11111111111111116,7985,9681.0,0.0,-0.17518851358330756,23360,31543.0,0.0,-0.2594236439146562,4453,5517.0,0.0,-0.19285843755664311,10056.089849,9277.583902,0.0,0.08391257413820585,0.2127659574468085,0.18181818181818182,0.0,0.17021276595744683,106.97967924468085,93.71296870707071,0.0,0.14156749829449322,502.80449245,515.4213278888889,0.0,-0.024478683275614754,0.12736380713838447,0.09565127569465964,0.0,0.33154321480205184,9.887993951819075,10.018989095032397,0.0,-0.013074686674554026,0.6795882000477141,0.6652594107685171,0.0,0.021538649506128937
SEM Non-Brand,Google Search - Healthcare,0,2.0,0.0,-1.0,0,1.0,0.0,-1.0,5,1.0,0.0,4.0,9,14.0,0.0,-0.3571428571428571,17,5.0,0.0,2.4,3,0.0,0.0,2.0,31,20.0,0.0,0.55,62,40.0,0.0,0.55,0,240.0,0.0,-1.0,183,120.0,0.0,0.5249999999999999,646,542.0,0.0,0.19188191881918826,120,72.0,0.0,0.6666666666666667,66.211335,51.120111,0.0,0.29521109607919294,0.0,0.5,0.0,-1.0,66.211335,25.5600555,0.0,1.5904221921583859,66.211335,51.120111,0.0,0.29521109607919294,0.16939890710382513,0.16666666666666666,0.0,0.016393442622950838,2.1358495161290323,2.55600555,0.0,-0.164379938013424,0.9363955582529788,5.47729640101916,0.0,-0.8290405540078598
SEM Non-Brand,Google Search - Travel Nurse,150,242.0,0.0,-0.3801652892561983,26,62.0,0.0,-0.5806451612903225,85,93.0,0.0,-0.08602150537634412,71,68.0,0.0,0.044117647058823595,132,168.0,0.0,-0.2142857142857143,22,28.0,0.0,-0.2142857142857143,288,329.0,0.0,-0.12462006079027355,576,658.0,0.0,-0.12462006079027355,6240,14880.0,0.0,-0.5806451612903225,4930,7250.0,0.0,-0.31999999999999995,8684,13700.0,0.0,-0.36613138686131386,2718,4516.0,0.0,-0.3981399468556245,18110.218212,26459.08474,0.0,-0.3155387501132437,0.17333333333333334,0.256198347107438,0.0,-0.3234408602150537,120.73478808,109.3350609090909,0.0,0.10426414981730026,696.5468543076923,426.75943129032254,0.0,0.6321768266530345,0.05841784989858012,0.04537931034482759,0.0,0.28732344001430343,62.882702125,80.42274996960487,0.0,-0.2180980860668652,0.37636211337772035,0.5872463145526023,0.0,-0.3591068959462872
SEM Non-Brand,Google Search - Travel Nurse Housing,33,21.0,0.0,0.5714285714285714,16,4.0,0.0,3.0,21,22.0,0.0,-0.045454545454545414,55,37.0,0.0,0.4864864864864864,37,64.0,0.0,-0.421875,4,5.0,0.0,-0.19999999999999996,113,123.0,0.0,-0.08130081300813008,226,246.0,0.0,-0.08130081300813008,3840,960.0,0.0,3.0,1383,1057.0,0.0,0.3084200567644275,4821,2053.0,0.0,1.3482708231855822,611,255.0,0.0,1.396078431372549,745.808746,238.773383,0.0,2.1235003526335263,0.48484848484848486,0.19047619047619047,0.0,1.5454545454545459,22.60026503030303,11.370161095238094,0.0,0.9876820425849715,46.613046625,59.69334575,0.0,-0.21912491184161842,0.08170643528561099,0.11636707663197729,0.0,-0.29785608051308277,6.600077398230089,1.9412470162601625,0.0,2.399916313043573,5.451799837166297,5.050814227480289,0.0,0.07939029067914238
SEM Non-Brand,Google Search - Corporate,54,43.0,0.0,0.2558139534883721,13,5.0,0.0,1.6,48,44.0,0.0,0.09090909090909083,46,46.0,0.0,0.0,90,96.0,0.0,-0.0625,11,9.0,0.0,0.22222222222222232,184,186.0,0.0,-0.010752688172043001,368,372.0,0.0,-0.010752688172043001,3120,1200.0,0.0,1.6,2561,2234.0,0.0,0.14637421665174566,12235,11164.0,0.0,0.09593335721963459,1612,1357.0,0.0,0.18791451731761244,4128.448169,3157.574739,0.0,0.3074744100301088,0.24074074074074073,0.11627906976744186,0.0,1.0703703703703704,76.45274387037037,73.43197067441861,0.0,0.04113703020916071,317.5729360769231,631.5149478000001,0.0,-0.49712522691149663,0.07184693479109723,0.08325872873769025,0.0,-0.13706423482090746,22.43721830978261,16.97620827419355,0.0,0.32168608840000146,0.8448695144560503,0.49785044850525073,0.0,0.697034756105356
SEM Non-Brand,Google Search - Landlord,134,108.0,0.0,0.2407407407407407,23,18.0,0.0,0.2777777777777777,18,30.0,0.0,-0.4,16,19.0,0.0,-0.1578947368421053,35,29.0,0.0,0.2068965517241379,6,10.0,0.0,-0.4,69,78.0,0.0,-0.11538461538461542,138,156.0,0.0,-0.11538461538461542,5520,4320.0,0.0,0.2777777777777777,2404,1930.0,0.0,0.24559585492227987,7648,6023.0,0.0,0.26979910343682545,1667,1242.0,0.0,0.34219001610305955,7917.286099,6290.563862,0.0,0.25859720570149425,0.17164179104477612,0.16666666666666666,0.0,0.029850746268656803,59.08422461940298,58.245961685185186,0.0,0.01439177772956235,344.22983039130435,349.4757701111111,0.0,-0.015010882494482791,0.02870216306156406,0.04041450777202073,0.0,-0.28980545245104317,114.74327679710144,80.64825464102564,0.0,0.42276205861908034,0.7146388205820475,0.7115419377646881,0.0,0.00435235458796468
SEM Non-Brand - Tenant,Google Search - Tenants,34,18.0,0.0,0.8888888888888888,8,1.0,0.0,7.0,346,119.0,0.0,1.907563025210084,269,86.0,0.0,2.127906976744186,601,211.0,0.0,1.8483412322274884,74,27.0,0.0,1.740740740740741,1216,416.0,0.0,1.923076923076923,2432,832.0,0.0,1.923076923076923,1920,240.0,0.0,7.0,9587,3145.0,0.0,2.048330683624801,74618,24301.0,0.0,2.0705732274392,6943,2239.0,0.0,2.1009379187137114,3520.347254,1313.119507,0.0,1.680903935425277,0.23529411764705882,0.05555555555555555,0.0,3.235294117647059,103.53962511764705,72.95108372222222,0.0,0.41930208346044084,440.04340675,1313.119507,0.0,-0.6648870080718403,0.12683842703661208,0.13227344992050874,0.0,-0.04108929560061303,2.895022412828947,3.156537276442308,0.0,-0.08284865367030003,1.2362416790147714,0.8163765706665417,0.0,0.5143032314185907
SEM Non-Brand,Google Search - Non-Brand (Other),1,0.0,-0.9995850622406639,0.0,1,0.0,-0.9988901220865705,0.0,0,1.0,0.0,-1.0,0,1.0,0.0,-1.0,0,7.0,0.0,-1.0,0,0.0,0.0,-1.0,0,9.0,0.0,-1.0,0,18.0,0.0,-1.0,240,0.0,-0.9988901220865705,239.0,22,29.0,-0.9998732777291369,-0.24137931034482762,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.3103448275862069,0.0,-1.0,0.0,0.0,0.0,-1.0,240.0,18.0,0.0,12.333333333333334
SEM Brand,Google Search - TNH Brand,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,11152,10282.0,0.0,0.08461388834857031,3099,2771.0,0.0,0.11836881992060633,8083.381339,6147.62061,0.0,0.31487966675289014,0.0,0.0,0.0,-1.0,8083.381339,6147.62061,0.0,0.31487966675289014,8083.381339,6147.62061,0.0,0.31487966675289014,0.0,0.0,0.0,-1.0,8083.381339,6147.62061,0.0,0.31487966675289014,0.0,0.0,0.0,-1.0
SEM Non-Brand,Google Search - TNH Non-Brand,390,329.0,0.0,0.18541033434650456,96,67.0,0.37142857142857144,0.4328358208955223,205,224.0,-0.2881944444444444,-0.0848214285714286,206,222.0,-0.3700305810397554,-0.07207207207207211,396,429.0,-0.36639999999999995,-0.07692307692307687,12,22.0,0.0,-0.4545454545454546,807,875.0,-0.3491935483870968,-0.07771428571428574,1614,1750.0,-0.3491935483870968,-0.07771428571428574,23040,16080.0,0.37142857142857144,0.4328358208955223,7268,6671.0,-0.33758658403208164,0.08949183031029828,18560,15471.0,-0.8887623614024573,0.19966388727296236,3901,2978.0,-0.8115458937198068,0.30993955674949625,10390.340911,6983.0017020000005,-0.8643194358863185,0.48794764120193523,0.24615384615384617,0.20364741641337386,0.0,0.2087256027554536,26.64189977179487,21.224929185410335,0.0,0.2552173691165043,108.23271782291665,104.22390600000001,-0.9010662553337739,0.038463457922183864,0.11103467253714915,0.1311647429171039,-0.017522236227741517,-0.15347165657677497,12.875267547707558,7.980573373714286,-0.7915193314734015,0.6133261289364229,2.3727806634236046,2.553343212689367,0.0,-0.07071612949188322
SEM Brand,Bing Search - Brand,176,168.0,0.0,0.04761904761904767,146,97.0,0.0,0.5051546391752577,479,487.0,0.0,-0.01642710472279263,1177,1252.0,0.0,-0.05990415335463262,1534,1504.0,0.0,0.019946808510638236,97,149.0,0.0,-0.3489932885906041,3190,3243.0,0.0,-0.01634289238359543,6380,6486.0,0.0,-0.01634289238359543,35040,23280.0,0.0,0.5051546391752577,17341,17901.0,0.0,-0.03128316853807045,27137,25149.0,0.0,0.07904886874229589,9413,8695.0,0.0,0.08257619321449106,3305.25,2901.64,0.0,0.1390972002040225,0.8295454545454546,0.5773809523809523,0.0,0.4367385192127462,18.779829545454547,17.271666666666665,0.0,0.08732005474020355,22.638698630136986,29.91381443298969,0.0,-0.24320254506993022,0.18395709589989043,0.1811630635160047,0.0,0.015422748598192593,1.036128526645768,0.8947394387912426,0.0,0.15802263958045315,12.531578549277665,10.258336664782675,0.0,0.22159946186004298
SEM Non-Brand,Bing Search - Non-Brand (All Campaigns),521,615.0,0.0,-0.15284552845528454,69,55.0,0.0,0.25454545454545463,152,157.0,0.0,-0.031847133757961776,333,295.0,0.0,0.12881355932203387,464,441.0,0.0,0.05215419501133778,77,90.0,0.0,-0.1444444444444445,949,893.0,0.0,0.06270996640537518,1898,1786.0,0.0,0.06270996640537518,16560,13200.0,0.0,0.25454545454545463,21552,22332.0,0.0,-0.03492745835572275,140792,143927.0,0.0,-0.021781875534124917,16946,17785.0,0.0,-0.04717458532471186,17422.149999999998,18446.2,0.0,-0.05551549912719167,0.1324376199616123,0.08943089430894309,0.0,0.48089338684348304,33.43982725527831,29.993821138211384,0.0,0.11489053365984092,252.49492753623184,335.38545454545454,0.0,-0.2471500355361672,0.04403303637713437,0.03998746193802615,0.0,0.10117107320735141,18.35842992623814,20.65643896976484,0.0,-0.11124904185519735,1.0594559224894748,0.8124166494996259,0.0,0.3040795300564094
Paid Social + Display,Facebook Display Prospecting,264,263.0,0.0,0.0038022813688212143,27,19.0,0.0,0.42105263157894735,11,16.0,0.0,-0.3125,3,14.0,0.0,-0.7857142857142857,42,32.0,0.0,0.3125,4,13.0,0.0,-0.6923076923076923,56,62.0,0.0,-0.09677419354838712,112,124.0,0.0,-0.09677419354838712,6480,4560.0,0.0,0.42105263157894735,7845,7628.0,0.09322742474916379,0.028447823807026706,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.10227272727272728,0.07224334600760456,0.0,0.4156698564593304,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.007138304652644997,0.008127949659150499,0.0,-0.12175825983264466,0.0,0.0,0.0,-1.0,6592.0,4684.0,0.0,0.40734415029888993
Paid Social + Display,Facebook Display Retargeting,8,6.0,-0.2727272727272727,0.33333333333333326,7,5.0,0.0,0.3999999999999999,3,6.0,0.0,-0.5,0,0.0,0.0,-1.0,1,1.0,0.0,0.0,1,6.0,0.0,-0.8333333333333334,4,7.0,0.0,-0.4285714285714286,8,14.0,0.0,-0.4285714285714286,1680,1200.0,0.0,0.3999999999999999,1360,1372.0,-0.3343122858541361,-0.008746355685131157,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.875,0.8333333333333334,0.0,0.050000000000000044,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0029411764705882353,0.00510204081632653,0.0,-0.4235294117647058,0.0,0.0,0.0,-1.0,1688.0,1214.0,0.0,0.3904448105436573
Paid Social + Display,Facebook Display Prospecting - Traveler,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,333,47.0,0.0,6.085106382978723,0,0.0,0.0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0
